Date,Close,close_Lag1,close_Lag2,close_Lag3
2019-05-23,352.209991,359.730011,354.269989,348.109985
2019-05-24,354.390015,352.209991,359.730011,354.269989
2019-05-28,355.059998,354.390015,352.209991,359.730011
2019-05-29,349.190002,355.059998,354.390015,352.209991
2019-05-30,351.850006,349.190002,355.059998,354.390015
2019-05-31,343.279999,351.850006,349.190002,355.059998
2019-06-03,336.630005,343.279999,351.850006,349.190002
2019-06-04,353.399994,336.630005,343.279999,351.850006
2019-06-05,355.730011,353.399994,336.630005,343.279999
2019-06-06,357.130005,355.730011,353.399994,336.630005
2019-06-07,360.869995,357.130005,355.730011,353.399994
2019-06-10,352.01001,360.869995,357.130005,355.730011
2019-06-11,351.269989,352.01001,360.869995,357.130005
2019-06-12,345.559998,351.269989,352.01001,360.869995
2019-06-13,343.429993,345.559998,351.269989,352.01001
2019-06-14,339.730011,343.429993,345.559998,351.269989
2019-06-17,350.619995,339.730011,343.429993,345.559998
2019-06-18,357.119995,350.619995,339.730011,343.429993
2019-06-19,363.519989,357.119995,350.619995,339.730011
2019-06-20,365.209991,363.519989,357.119995,350.619995
2019-06-21,369.209991,365.209991,363.519989,357.119995
2019-06-24,371.040009,369.209991,365.209991,363.519989
2019-06-25,360.299988,371.040009,369.209991,365.209991
2019-06-26,362.200012,360.299988,371.040009,369.209991
2019-06-27,370.019989,362.200012,360.299988,371.040009
2019-06-28,367.320007,370.019989,362.200012,360.299988
2019-07-01,374.600006,367.320007,370.019989,362.200012
2019-07-02,375.429993,374.600006,367.320007,370.019989
2019-07-03,381.720001,375.429993,374.600006,367.320007
2019-07-05,380.549988,381.720001,375.429993,374.600006
2019-07-08,376.160004,380.549988,381.720001,375.429993
2019-07-09,379.929993,376.160004,380.549988,381.720001
2019-07-10,381.0,379.929993,376.160004,380.549988
2019-07-11,379.5,381.0,379.929993,376.160004
2019-07-12,373.25,379.5,381.0,379.929993
2019-07-15,366.600006,373.25,379.5,381.0
2019-07-16,365.98999,366.600006,373.25,379.5
2019-07-17,362.440002,365.98999,366.600006,373.25
2019-07-18,325.209991,362.440002,365.98999,366.600006
2019-07-19,315.100006,325.209991,362.440002,365.98999
2019-07-22,310.619995,315.100006,325.209991,362.440002
2019-07-23,307.299988,310.619995,315.100006,325.209991
2019-07-24,317.940002,307.299988,310.619995,315.100006
2019-07-25,326.459991,317.940002,307.299988,310.619995
2019-07-26,335.779999,326.459991,317.940002,307.299988
2019-07-29,332.700012,335.779999,326.459991,317.940002
2019-07-30,325.929993,332.700012,335.779999,326.459991
2019-07-31,322.98999,325.929993,332.700012,335.779999
2019-08-01,319.5,322.98999,325.929993,332.700012
2019-08-02,318.829987,319.5,322.98999,325.929993
2019-08-05,307.630005,318.829987,319.5,322.98999
2019-08-06,310.100006,307.630005,318.829987,319.5
2019-08-07,304.290009,310.100006,307.630005,318.829987
2019-08-08,315.899994,304.290009,310.100006,307.630005
2019-08-09,308.929993,315.899994,304.290009,310.100006
2019-08-12,310.829987,308.929993,315.899994,304.290009
2019-08-13,312.279999,310.829987,308.929993,315.899994
2019-08-14,299.109985,312.279999,310.829987,308.929993
2019-08-15,295.76001,299.109985,312.279999,310.829987
2019-08-16,302.799988,295.76001,299.109985,312.279999
2019-08-19,309.380005,302.799988,295.76001,299.109985
2019-08-20,298.98999,309.380005,302.799988,295.76001
2019-08-21,297.809998,298.98999,309.380005,302.799988
2019-08-22,296.929993,297.809998,298.98999,309.380005
2019-08-23,291.440002,296.929993,297.809998,298.98999
2019-08-26,294.980011,291.440002,296.929993,297.809998
2019-08-27,291.029999,294.980011,291.440002,296.929993
2019-08-28,291.769989,291.029999,294.980011,291.440002
2019-08-29,296.779999,291.769989,291.029999,294.980011
2019-08-30,293.75,296.779999,291.769989,291.029999
2019-09-03,289.290009,293.75,296.779999,291.769989
2019-09-04,291.519989,289.290009,293.75,296.779999
2019-09-05,293.25,291.519989,289.290009,293.75
2019-09-06,290.170013,293.25,291.519989,289.290009
2019-09-09,294.339996,290.170013,293.25,291.519989
2019-09-10,287.98999,294.339996,290.170013,293.25
2019-09-11,288.269989,287.98999,294.339996,290.170013
2019-09-12,288.859985,288.269989,287.98999,294.339996
2019-09-13,294.149994,288.859985,288.269989,287.98999
2019-09-16,294.290009,294.149994,288.859985,288.269989
2019-09-17,298.600006,294.290009,294.149994,288.859985
